,Unnamed: 0,_id,name,reviews,stars
377,377,65098d07c0f914f394936152,김용석,취미활동을 저렴하게 잘 쓰고 있어요~,별표 5개 만점에 5개를 받았습니다.
378,378,65098d07c0f914f394936153,Google 사용자,사용하려고하니 무한로딩중이라 사용도못함,별표 5개 만점에 1개를 받았습니다.
379,379,65098d07c0f914f394936154,T.H Jeong,업데이트하고 먹통됨 이런 형편없는 앱을 언제까지 써야 되지요 ???,별표 5개 만점에 1개를 받았습니다.
380,380,65098d07c0f914f394936155,박진솔,제휴 업체가 정말 다양하긴 하네요 . 잘 활용 하고 있습니다,별표 5개 만점에 5개를 받았습니다.
381,381,65098d07c0f914f394936156,박미숙,합리적가격에 운동해서 좋아요!!,별표 5개 만점에 5개를 받았습니다.
382,382,65098d07c0f914f394936157,Jinsu Kim,제휴도 많이 되어있고요~ 쓸만 했습니다 ㅎ,별표 5개 만점에 5개를 받았습니다.
383,383,65098d07c0f914f394936158,Solar Spirit,업데이트하고 나서 또 아예 실행이 안되요. 쓰라는건지 말라는건지???,별표 5개 만점에 1개를 받았습니다.
384,384,65098d07c0f914f394936159,김현우,회원건강 증진에 많은 도움이 됩니다,별표 5개 만점에 5개를 받았습니다.
385,385,65098d07c0f914f39493615a,류종우,처음 가입하고 사용할려는데 이용시설 사용 안되요,별표 5개 만점에 1개를 받았습니다.
386,386,65098d07c0f914f39493615b,Google 사용자,앱 업데이트 이후에 더 편리해졌어요,별표 5개 만점에 5개를 받았습니다.
387,387,65098d07c0f914f39493615c,정명진,운동도 하구 라이프 생활도 누릴수 있는 넘넘 좋아여,별표 5개 만점에 5개를 받았습니다.
388,388,65098d07c0f914f39493615d,Google 사용자,저희 직원 모두 아이코젠 쓰고 있는데요 다 만족 스럽다네요 ^^,별표 5개 만점에 5개를 받았습니다.
389,389,65098d07c0f914f39493615e,Google 사용자,저희 사내 회사 분들 너무 잘 쓰고 있습니다 ^^,별표 5개 만점에 5개를 받았습니다.
390,390,65098d07c0f914f39493615f,Yusil Lee,제휴점이 많아 ~ 아이코젠 많이 활용 하고 있습니다 ~,별표 5개 만점에 5개를 받았습니다.
